# Open-class stems, bulk-loaded into %lex Root via `%import lexicon.tsv`.
# Columns are TAB-separated:  <stem>  <paradigm>  [<feature>=value ...]
#
# The stem is consonant-final for -а feminines and bare masculines (собак, журнал),
# and the paradigm supplies the endings. Gender comes from the paradigm (N-fem-a /
# N-masc-hard / N-neut-o); animacy is a per-stem feature on the masculine rows
# (<anim>=anim|inan), since it selects the accusative allomorph and cross-cuts the
# declension. So a feminine/neuter row adds only <lemma>, a masculine row adds
# <lemma> and <anim>.
#
# Future: the seed sticks to regular stems whose nominative plural is the productive
# -ы/-а. Stems with irregular plurals (дом -> дома, брат -> братья, город -> города)
# are kept singular here; soft-sign and -ь stems (день, мать) want their own paradigms.

# --- Nouns: feminine 1st declension (-а) --------------------------------------
собак	N-fem-a	<lemma>=собака
кошк	N-fem-a	<lemma>=кошка
книг	N-fem-a	<lemma>=книга
машин	N-fem-a	<lemma>=машина
школ	N-fem-a	<lemma>=школа
девочк	N-fem-a	<lemma>=девочка

# --- Nouns: masculine hard stem, animate (acc = gen, -а) ----------------------
кот	N-masc-hard	<lemma>=кот	<anim>=anim
студент	N-masc-hard	<lemma>=студент	<anim>=anim
мальчик	N-masc-hard	<lemma>=мальчик	<anim>=anim
брат	N-masc-hard	<lemma>=брат	<anim>=anim
врач	N-masc-hard	<lemma>=врач	<anim>=anim

# --- Nouns: masculine hard stem, inanimate (acc = nom) ------------------------
журнал	N-masc-hard	<lemma>=журнал	<anim>=inan
стол	N-masc-hard	<lemma>=стол	<anim>=inan
магазин	N-masc-hard	<lemma>=магазин	<anim>=inan
дом	N-masc-hard	<lemma>=дом	<anim>=inan

# --- Nouns: neuter 2nd declension (-о) ----------------------------------------
окн	N-neut-o	<lemma>=окно
письм	N-neut-o	<lemma>=письмо

# --- Verbs: productive -aj- present stem --------------------------------------
# Valency is lexical (it picks who may take a direct object), not a property of the
# conjugation: транзитивные читать/знать/... vs intransitive работать/гулять/играть.
чита	V-aj	<lemma>=читать	<valency>=tr
зна	V-aj	<lemma>=знать	<valency>=tr
дела	V-aj	<lemma>=делать	<valency>=tr
слуша	V-aj	<lemma>=слушать	<valency>=tr
встреча	V-aj	<lemma>=встречать	<valency>=tr
понима	V-aj	<lemma>=понимать	<valency>=tr
работа	V-aj	<lemma>=работать	<valency>=intr
гуля	V-aj	<lemma>=гулять	<valency>=intr
игра	V-aj	<lemma>=играть	<valency>=intr
